qa_id,step,country,map_no,template_no,source_index,ability_level,reward_pattern,correct_count,mean_reward,signal_class,clipped_ratio,entropy,grad_norm,selection_reason
mapwise_china_map22_0D_t12_src0464,1,china,map22_0D,12,464,L2,"0,0,0,0",0,0.0,all_wrong_nonfullclip,0.25,0.20604632794857025,0.0,balance_L2_hard_nonfullclip
mapwise_usa_map_1950_t34_src2413,3,usa,map_1950,34,2413,L3,"1,0,0,1",2,0.5,mixed,0.5,0.17472324520349503,0.026123046875,retain_all_mixed_signal
mapwise_usa_map_4_t22_src2865,4,usa,map_4,22,2865,L2,"0,1,1,0",2,0.5,mixed,0.5,0.13430693373084068,0.022705078125,retain_all_mixed_signal
mapwise_usa_map_12175_t35_src2610,5,usa,map_12175,35,2610,L2,"1,0,1,1",3,0.75,mixed,0.25,0.1724322885274887,0.0220947265625,retain_all_mixed_signal
mapwise_china_map11_5C_t34_src0109,7,china,map11_5C,34,109,L3,"1,1,1,1",4,1.0,all_correct,0.0,0.36310577392578125,0.0,balance_L3_easy_all_correct
mapwise_china_map3_6D_t6_src0277,10,china,map3_6D,6,277,L0,"0,0,0,0",0,0.0,all_wrong_nonfullclip,0.0,0.21380077302455902,0.0,balance_L0_hard_nonfullclip
mapwise_china_map9_0C_t18_src0741,12,china,map9_0C,18,741,L3,"1,0,1,1",3,0.75,mixed,0.0,0.2484789825975895,0.03857421875,retain_all_mixed_signal
mapwise_india_map97_5D_t16_src1599,15,india,map97_5D,16,1599,L1,"0,1,0,1",2,0.5,mixed,0.0,0.19837241619825363,0.138671875,retain_all_mixed_signal
mapwise_china_map17_4C_t3_src0157,18,china,map17_4C,3,157,L0,"0,0,0,0",0,0.0,all_wrong_nonfullclip,0.0,0.1679607592523098,0.0,balance_L0_hard_nonfullclip
mapwise_china_map11_8D_t41_src0542,19,china,map11_8D,41,542,L0,"0,0,0,0",0,0.0,all_wrong_nonfullclip,0.0,0.2297423966228962,0.0,balance_L0_hard_nonfullclip
mapwise_usa_map_20774_t18_src2987,20,usa,map_20774,18,2987,L3,"0,1,1,1",3,0.75,mixed,0.25,0.2076602354645729,0.0191650390625,retain_all_mixed_signal
mapwise_china_map6_0D_t31_src0519,21,china,map6_0D,31,519,L2,"0,0,0,1",1,0.25,mixed,0.75,0.07258885353803635,0.0634765625,retain_all_mixed_signal
mapwise_india_map139_1C_t36_src1813,23,india,map139_1C,36,1813,L3,"1,0,0,0",1,0.25,mixed,0.75,0.09801388531923294,0.058837890625,retain_all_mixed_signal
mapwise_india_map72_6C_t2_src1458,26,india,map72_6C,2,1458,L0,"1,1,1,1",4,1.0,all_correct,0.0,0.244883943349123,0.0,balance_L0_easy_all_correct
mapwise_china_map23_4D_t42_src0698,29,china,map23_4D,42,698,L2,"1,0,1,1",3,0.75,mixed,0.25,0.15567772835493088,0.01708984375,retain_all_mixed_signal
mapwise_india_map97_8D_t36_src1615,30,india,map97_8D,36,1615,L3,"1,1,1,1",4,1.0,all_correct,0.0,0.3080899119377136,0.0,balance_L3_easy_all_correct
mapwise_india_map68_0C_t16_src1424,31,india,map68_0C,16,1424,L1,"0,0,0,0",0,0.0,all_wrong_nonfullclip,0.5,0.17434153705835342,0.0,balance_L1_hard_nonfullclip
mapwise_india_map11_1C_t32_src1121,32,india,map11_1C,32,1121,L2,"1,0,0,0",1,0.25,mixed,0.25,0.27200427651405334,0.059814453125,retain_all_mixed_signal
mapwise_china_map9_7C_t30_src0617,33,china,map9_7C,30,617,L2,"1,1,0,1",3,0.75,mixed,0.25,0.254921518266201,0.017578125,retain_all_mixed_signal
mapwise_china_map18_4D_t23_src0423,34,china,map18_4D,23,423,L2,"0,0,1,0",1,0.25,mixed,0.75,0.08267627656459808,0.051513671875,retain_all_mixed_signal
mapwise_china_map5_4C_t18_src0933,35,china,map5_4C,18,933,L3,"1,1,1,1",4,1.0,all_correct,0.0,0.26068174093961716,0.0,balance_L3_easy_all_correct
mapwise_usa_map_20746_t31_src2223,36,usa,map_20746,31,2223,L2,"1,1,1,1",4,1.0,all_correct,0.0,0.3092919886112213,0.0,balance_L2_easy_all_correct
mapwise_usa_map_13792_t33_src2976,37,usa,map_13792,33,2976,L3,"0,0,0,0",0,0.0,all_wrong_nonfullclip,0.75,0.10506345331668854,0.0,balance_L3_hard_nonfullclip
mapwise_usa_map_11349_t32_src2481,39,usa,map_11349,32,2481,L2,"0,0,0,1",1,0.25,mixed,0.5,0.10535765811800957,0.0439453125,retain_all_mixed_signal
mapwise_china_map5_7D_t36_src0292,40,china,map5_7D,36,292,L3,"0,0,1,1",2,0.5,mixed,0.5,0.16806774586439133,0.03955078125,retain_all_mixed_signal
mapwise_india_map83_1D_t41_src1480,49,india,map83_1D,41,1480,L0,"0,0,0,0",0,0.0,all_wrong_nonfullclip,0.0,0.2072126567363739,0.0,balance_L0_hard_nonfullclip
mapwise_china_map6_0C_t5_src0667,50,china,map6_0C,5,667,L0,"0,0,0,0",0,0.0,all_wrong_nonfullclip,0.0,0.3381243422627449,0.0,balance_L0_hard_nonfullclip
